ano,mes,product_category_name,total_vendas
2016,9,beleza_saude,3
2016,9,moveis_decoracao,2
2016,9,telefonia,1
2016,10,alimentos,1
2016,10,audio,2
2016,10,automotivo,12
2016,10,bebes,14
2016,10,beleza_saude,48
2016,10,brinquedos,27
2016,10,cama_mesa_banho,8
2016,10,climatizacao,10
2016,10,consoles_games,10
2016,10,cool_stuff,8
2016,10,eletronicos,2
2016,10,esporte_lazer,19
2016,10,fashion_bolsas_e_acessorios,9
2016,10,fashion_calcados,1
2016,10,fashion_roupa_feminina,1
2016,10,fashion_roupa_masculina,1
2016,10,ferramentas_jardim,5
2016,10,fraldas_higiene,1
2016,10,industria_comercio_e_negocios,4
2016,10,informatica_acessorios,21
2016,10,livros_interesse_geral,1
2016,10,livros_tecnicos,1
2016,10,market_place,13
2016,10,moveis_decoracao,67
2016,10,moveis_escritorio,6
2016,10,perfumaria,33
2016,10,pet_shop,4
2016,10,relogios_presentes,5
2016,10,telefonia,10
2016,10,telefonia_fixa,5
2016,10,utilidades_domesticas,12
2016,12,fashion_bolsas_e_acessorios,1
2017,1,agro_industria_e_comercio,3
2017,1,alimentos,2
2017,1,automotivo,34
2017,1,bebes,41
2017,1,beleza_saude,85
2017,1,brinquedos,43
2017,1,cama_mesa_banho,48
2017,1,casa_conforto_2,2
2017,1,climatizacao,4
2017,1,consoles_games,23
2017,1,construcao_ferramentas_construcao,1
2017,1,cool_stuff,40
2017,1,dvds_blu_ray,2
2017,1,eletrodomesticos_2,8
2017,1,eletronicos,11
2017,1,eletroportateis,6
2017,1,esporte_lazer,80
2017,1,fashion_bolsas_e_acessorios,35
2017,1,fashion_calcados,1
2017,1,fashion_roupa_feminina,2
2017,1,fashion_roupa_masculina,1
2017,1,fashion_underwear_e_moda_praia,2
2017,1,ferramentas_jardim,58
2017,1,informatica_acessorios,31
2017,1,instrumentos_musicais,1
2017,1,livros_interesse_geral,2
2017,1,malas_acessorios,5
2017,1,market_place,6
2017,1,moveis_cozinha_area_de_servico_jantar_e_jardim,1
2017,1,moveis_decoracao,182
2017,1,moveis_escritorio,10
2017,1,moveis_quarto,8
2017,1,moveis_sala,10
2017,1,musica,2
2017,1,papelaria,14
2017,1,pcs,1
2017,1,perfumaria,34
2017,1,pet_shop,15
2017,1,relogios_presentes,11
2017,1,seguros_e_servicos,1
2017,1,telefonia,26
2017,1,telefonia_fixa,22
2017,1,utilidades_domesticas,28
2017,2,agro_industria_e_comercio,7
2017,2,alimentos,9
2017,2,audio,5
2017,2,automotivo,86
2017,2,bebes,34
2017,2,beleza_saude,166
2017,2,brinquedos,67
2017,2,cama_mesa_banho,165
2017,2,casa_conforto,3
2017,2,casa_construcao,4
2017,2,cine_foto,1
2017,2,climatizacao,12
2017,2,consoles_games,18
2017,2,construcao_ferramentas_construcao,3
2017,2,construcao_ferramentas_jardim,2
2017,2,construcao_ferramentas_seguranca,1
2017,2,cool_stuff,70
2017,2,dvds_blu_ray,1
2017,2,eletrodomesticos,7
2017,2,eletrodomesticos_2,1
2017,2,eletronicos,19
2017,2,eletroportateis,28
2017,2,esporte_lazer,156
2017,2,fashion_bolsas_e_acessorios,39
2017,2,fashion_calcados,3
2017,2,fashion_roupa_feminina,4
2017,2,fashion_roupa_masculina,7
2017,2,fashion_underwear_e_moda_praia,8
2017,2,ferramentas_jardim,72
